Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Role_Tenure_Ratio,ManagerTenureRatio,Promotion_Tenure_Ratio,Log_TotalWorkingYears,Log_YearsAtCompany,Log_YearsSinceLastPromotion,Log_MonthlyIncome,Attrition
38,Travel_Rarely,827,R&D,1,Masters,Life Sciences,1,Medium,Female,33,Very High,Junior Level,Healthcare Representative,Very High,Single,7625,19383,0,No,13,Good,High,80,0,10,4,Average,9,0.7,0.8,0.1,2.3978952727983707,2.302585092994046,0.6931471805599453,8.939318740417509,No
38,Travel_Rarely,397,R&D,2,School,Medical,1,Very High,Female,54,Medium,Mid Level,Manufacturing Director,High,Married,7756,14199,3,Yes,19,Good,Very High,80,1,10,6,Excellent,5,0.667,0.333,0.0,2.3978952727983707,1.791759469228055,0.0,8.956350940490871,No
28,Travel_Rarely,995,R&D,9,Bachelors,Medical,1,High,Female,77,High,Entry Level,Research Scientist,High,Divorced,2377,9834,5,No,18,Good,Medium,80,1,6,2,Good,2,0.667,0.667,0.667,1.9459101490553132,1.0986122886681096,1.0986122886681096,7.774015077250727,No
26,Travel_Rarely,933,Sales,1,Bachelors,Life Sciences,1,High,Male,57,High,Junior Level,Sales Executive,High,Married,5296,20156,1,No,17,Good,Medium,80,1,8,3,Good,8,0.778,0.778,0.778,2.1972245773362196,2.1972245773362196,2.0794415416798357,8.574895901544526,No
27,Travel_Rarely,1157,R&D,17,Bachelors,Technical Degree,1,High,Male,51,High,Entry Level,Research Scientist,Medium,Married,3058,13364,0,Yes,16,Good,Very High,80,1,6,3,Average,5,0.333,0.167,0.167,1.9459101490553132,1.791759469228055,0.6931471805599453,8.025843344150903,No
32,Travel_Rarely,529,R&D,2,Bachelors,Technical Degree,1,Very High,Male,78,High,Entry Level,Research Scientist,Low,Single,2439,11288,1,No,14,Good,Very High,80,0,4,4,Good,4,0.4,0.4,0.2,1.6094379124341003,1.6094379124341003,0.6931471805599453,7.799753318287247,No
37,Travel_Rarely,977,R&D,1,Bachelors,Life Sciences,1,Very High,Female,56,Medium,Junior Level,Manufacturing Director,Very High,Married,6474,9961,1,No,13,Good,Medium,80,1,14,2,Average,14,0.533,0.733,0.2,2.70805020110221,2.70805020110221,1.3862943611198906,8.775703886567738,No
29,Travel_Rarely,469,Sales,10,Bachelors,Medical,1,High,Male,42,Medium,Junior Level,Sales Executive,High,Single,5869,23413,9,No,11,Good,High,80,0,8,2,Good,5,0.333,0.667,0.167,2.1972245773362196,1.791759469228055,0.6931471805599453,8.677609912822142,No
46,Travel_Rarely,644,R&D,1,Masters,Medical,1,Very High,Male,97,High,Mid Level,Healthcare Representative,Low,Divorced,9396,12368,7,No,16,Good,High,80,1,17,3,Good,4,0.4,0.6,0.0,2.8903717578961645,1.6094379124341003,0.0,9.148145768383065,No
36,Travel_Rarely,559,R&D,12,Masters,Life Sciences,1,High,Female,76,High,Junior Level,Manufacturing Director,High,Married,4663,12421,9,Yes,12,Good,Medium,80,2,7,2,Good,3,0.5,0.25,0.25,2.0794415416798357,1.3862943611198906,0.6931471805599453,8.447628728030327,No
32,Travel_Rarely,1033,R&D,9,Bachelors,Medical,1,Low,Female,41,High,Entry Level,Laboratory Technician,Low,Single,4200,10224,7,No,22,Excellent,Low,80,0,10,2,Excellent,5,0.667,0.667,0.0,2.3978952727983707,1.791759469228055,0.0,8.343077871169383,Yes
30,Travel_Rarely,241,R&D,7,Bachelors,Medical,1,Medium,Male,48,Medium,Entry Level,Research Scientist,Medium,Married,2141,5348,1,No,12,Good,Medium,80,1,6,3,Average,6,0.571,0.143,0.143,1.9459101490553132,1.9459101490553132,0.6931471805599453,7.669495251007694,No
31,Non-Travel,587,Sales,2,Masters,Life Sciences,1,Very High,Female,57,High,Mid Level,Sales Executive,High,Divorced,9852,8935,1,Yes,19,Good,Low,80,1,10,5,Average,10,0.727,0.545,0.818,2.3978952727983707,2.3978952727983707,2.302585092994046,9.195531256322475,No
34,Travel_Rarely,810,Sales,8,School,Technical Degree,1,Medium,Male,92,Very High,Junior Level,Sales Executive,High,Married,6799,22128,1,No,21,Excellent,High,80,2,10,5,Good,10,0.727,0.727,0.364,2.3978952727983707,2.3978952727983707,1.6094379124341003,8.824677891164198,No
44,Travel_Frequently,602,HR,1,PhD,Human Resources,1,Low,Male,37,High,Junior Level,Human Resources,Very High,Married,5743,10503,4,Yes,11,Good,High,80,0,14,3,Good,10,0.636,0.182,0.0,2.70805020110221,2.3978952727983707,0.0,8.65591111072806,No
58,Travel_Frequently,781,R&D,2,Below School,Life Sciences,1,Very High,Male,57,Medium,Entry Level,Laboratory Technician,Very High,Divorced,2380,13384,9,Yes,14,Good,Very High,80,1,3,3,Average,1,0.0,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,7.7752758464868625,Yes
44,Travel_Rarely,935,R&D,3,Bachelors,Life Sciences,1,Low,Male,89,High,Entry Level,Laboratory Technician,Low,Married,2362,14669,4,No,12,Good,High,80,0,10,4,Excellent,3,0.5,0.5,0.25,2.3978952727983707,1.3862943611198906,0.6931471805599453,7.767687277186908,Yes
31,Travel_Rarely,1079,Sales,10,School,Medical,1,High,Female,86,High,Junior Level,Sales Executive,Very High,Divorced,6583,20115,2,Yes,11,Good,Very High,80,1,8,2,Good,5,0.333,0.667,0.167,2.1972245773362196,1.791759469228055,0.6931471805599453,8.792397742356906,No
38,Travel_Rarely,1084,R&D,29,Bachelors,Technical Degree,1,Very High,Male,54,High,Junior Level,Manufacturing Director,Very High,Married,6261,4185,3,No,18,Good,Low,80,1,9,3,Poor,7,0.875,0.875,0.125,2.302585092994046,2.0794415416798357,0.6931471805599453,8.742254901886351,No
25,Travel_Rarely,180,R&D,2,Below School,Medical,1,Low,Male,65,Very High,Entry Level,Research Scientist,Low,Single,3424,21632,7,No,13,Good,High,80,0,6,3,Average,4,0.6,0.2,0.0,1.9459101490553132,1.6094379124341003,0.0,8.138856750696325,No
35,Travel_Rarely,1258,R&D,1,Masters,Life Sciences,1,Very High,Female,40,Very High,Entry Level,Research Scientist,High,Single,2506,13301,3,No,13,Good,High,80,0,7,0,Good,2,0.667,0.667,0.667,2.0794415416798357,1.0986122886681096,1.0986122886681096,7.826842098158293,No
36,Travel_Rarely,188,R&D,7,Masters,Other,1,Medium,Male,65,High,Entry Level,Research Scientist,Very High,Single,4678,23293,2,No,18,Good,High,80,0,8,6,Good,6,0.286,0.143,0.0,2.1972245773362196,1.9459101490553132,0.0,8.450839690866216,No
36,Travel_Rarely,557,Sales,3,Bachelors,Medical,1,Low,Female,94,Medium,Mid Level,Sales Executive,Very High,Married,7644,12695,0,No,19,Good,High,80,2,10,2,Good,9,0.7,0.4,0.3,2.3978952727983707,2.302585092994046,1.3862943611198906,8.941807118363164,No
39,Travel_Frequently,766,Sales,20,Bachelors,Life Sciences,1,High,Male,83,High,Junior Level,Sales Executive,Very High,Divorced,4127,19188,2,No,18,Good,Very High,80,1,7,6,Good,2,0.333,0.667,0.667,2.0794415416798357,1.0986122886681096,1.0986122886681096,8.325548307161398,No
35,Travel_Rarely,809,R&D,16,Bachelors,Medical,1,Low,Male,84,Very High,Entry Level,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Good,High,80,1,6,5,Good,5,0.667,0.5,0.0,1.9459101490553132,1.791759469228055,0.0,7.794411205726601,No
41,Travel_Frequently,857,R&D,10,Bachelors,Life Sciences,1,Very High,Male,91,Medium,Senior Level,Manager,Low,Divorced,17181,12888,4,No,13,Good,Medium,80,1,21,2,Average,7,0.75,0.875,0.875,3.091042453358316,2.0794415416798357,2.0794415416798357,9.751617603198001,No
36,Travel_Rarely,530,Sales,3,Below School,Life Sciences,1,High,Male,51,Medium,Mid Level,Sales Executive,Very High,Married,10325,5518,1,Yes,11,Good,Low,80,1,16,6,Good,16,0.412,0.412,0.176,2.833213344056216,2.833213344056216,1.3862943611198906,9.242420265439595,Yes
29,Travel_Frequently,442,Sales,2,School,Life Sciences,1,Medium,Male,44,High,Junior Level,Sales Executive,Very High,Single,4554,20260,1,No,18,Good,Low,80,0,10,3,Average,10,0.636,0.818,0.0,2.3978952727983707,2.3978952727983707,0.0,8.423980809694058,No
36,Travel_Frequently,566,R&D,18,Masters,Life Sciences,1,High,Male,81,Very High,Entry Level,Laboratory Technician,Very High,Married,3688,7122,4,No,18,Good,Very High,80,2,4,2,Good,1,0.0,0.0,0.0,1.6094379124341003,0.6931471805599453,0.0,8.213110697596676,No
33,Travel_Rarely,213,R&D,7,Bachelors,Medical,1,High,Male,49,High,Mid Level,Research Director,High,Married,11691,25995,0,No,11,Good,Very High,80,0,14,3,Excellent,13,0.643,0.5,0.214,2.70805020110221,2.639057329615259,1.3862943611198906,9.366660126231137,No
36,Travel_Rarely,506,R&D,3,Bachelors,Technical Degree,1,High,Male,30,High,Junior Level,Research Scientist,Medium,Single,4485,26285,4,No,12,Good,Very High,80,0,10,2,Good,8,0.0,0.778,0.778,2.3978952727983707,2.1972245773362196,2.0794415416798357,8.408716715080153,No
38,Travel_Rarely,1495,R&D,10,Bachelors,Medical,1,High,Female,76,High,Junior Level,Healthcare Representative,High,Married,9824,22174,3,No,19,Good,High,80,1,18,4,Good,1,0.0,0.0,0.0,2.9444389791664403,0.6931471805599453,0.0,9.192685436737461,No
54,Travel_Rarely,376,R&D,19,Masters,Medical,1,Very High,Female,95,High,Junior Level,Manufacturing Director,Low,Divorced,5485,22670,9,Yes,11,Good,Medium,80,2,9,4,Good,5,0.5,0.667,0.167,2.302585092994046,1.791759469228055,0.6931471805599453,8.60995467149755,No
37,Non-Travel,1413,R&D,5,School,Technical Degree,1,High,Male,84,Very High,Entry Level,Laboratory Technician,High,Single,3500,25470,0,No,14,Good,Low,80,0,7,2,Poor,6,0.714,0.429,0.143,2.0794415416798357,1.9459101490553132,0.6931471805599453,8.160803920954665,No
33,Non-Travel,1038,Sales,8,Below School,Life Sciences,1,Medium,Female,88,Medium,Entry Level,Sales Representative,Very High,Single,2342,21437,0,No,19,Good,Very High,80,0,3,2,Average,2,0.667,0.667,0.667,1.3862943611198906,1.0986122886681096,1.0986122886681096,7.759187438507795,No
50,Travel_Rarely,410,Sales,28,Bachelors,Marketing,1,Very High,Male,39,Medium,Mid Level,Sales Executive,Low,Divorced,10854,16586,4,Yes,13,Good,Medium,80,1,20,3,Good,3,0.5,0.0,0.5,3.044522437723423,1.3862943611198906,1.0986122886681096,9.292381082312392,Yes
49,Travel_Rarely,470,R&D,20,Masters,Medical,1,High,Female,96,High,Junior Level,Manufacturing Director,Low,Married,6567,5549,1,No,14,Good,High,80,0,16,2,Average,15,0.688,0.688,0.312,2.833213344056216,2.772588722239781,1.791759469228055,8.789964651132264,No
33,Travel_Frequently,430,Sales,7,Bachelors,Medical,1,Very High,Male,54,High,Junior Level,Sales Executive,Low,Married,4373,17456,0,No,14,Good,Low,80,2,5,2,Good,4,0.6,0.6,0.0,1.791759469228055,1.6094379124341003,0.0,8.383433201236713,No
27,Non-Travel,210,Sales,1,Below School,Marketing,1,High,Male,73,High,Junior Level,Sales Executive,Medium,Married,6349,22107,0,Yes,13,Good,Very High,80,1,6,0,Good,5,0.667,0.667,0.167,1.9459101490553132,1.791759469228055,0.6931471805599453,8.756210091886738,No
28,Travel_Rarely,1157,R&D,2,Masters,Medical,1,Low,Male,84,Low,Entry Level,Research Scientist,Very High,Married,3464,24737,5,Yes,13,Good,Very High,80,0,5,4,Average,3,0.5,0.5,0.5,1.791759469228055,1.3862943611198906,1.0986122886681096,8.150467911624004,Yes
39,Travel_Rarely,1383,HR,2,Bachelors,Life Sciences,1,Very High,Female,42,Medium,Junior Level,Human Resources,Very High,Married,5204,7790,8,No,11,Good,High,80,2,13,2,Good,5,0.667,0.667,0.0,2.639057329615259,1.791759469228055,0.0,8.557374981049069,No
35,Travel_Rarely,104,R&D,2,Bachelors,Life Sciences,1,Low,Female,69,High,Entry Level,Laboratory Technician,Low,Divorced,2074,26619,1,Yes,12,Good,Very High,80,1,1,2,Good,1,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,7.637716432664798,Yes
50,Travel_Rarely,1126,R&D,1,School,Medical,1,Very High,Male,66,High,Senior Level,Research Director,Very High,Divorced,17399,6615,9,No,22,Excellent,High,80,1,32,1,Average,5,0.667,0.5,0.167,3.4965075614664802,1.791759469228055,0.6931471805599453,9.764225485202621,No
36,Travel_Rarely,216,R&D,6,School,Medical,1,Medium,Male,84,High,Junior Level,Manufacturing Director,Medium,Divorced,4941,2819,6,No,20,Excellent,Very High,80,2,7,0,Good,3,0.5,0.25,0.0,2.0794415416798357,1.3862943611198906,0.0,8.505525386548555,No
21,Travel_Rarely,337,Sales,7,Below School,Marketing,1,Medium,Male,31,High,Entry Level,Sales Representative,Medium,Single,2679,4567,1,No,13,Good,Medium,80,0,1,3,Good,1,0.0,0.0,0.5,0.6931471805599453,0.6931471805599453,0.6931471805599453,7.893572073504902,Yes
50,Travel_Frequently,1246,HR,3,Bachelors,Medical,1,Low,Male,99,High,Executive Level,Manager,Medium,Married,18200,7999,1,No,11,Good,High,80,1,32,2,Good,32,0.152,0.212,0.303,3.4965075614664802,3.4965075614664802,2.3978952727983707,9.809231816610408,No
52,Travel_Rarely,994,R&D,7,Masters,Life Sciences,1,Medium,Male,87,High,Mid Level,Healthcare Representative,Medium,Single,10445,15322,7,No,19,Good,Very High,80,0,18,4,Good,8,0.667,0.0,0.444,2.9444389791664403,2.1972245773362196,1.6094379124341003,9.253974408996244,No
33,Travel_Rarely,1277,R&D,15,Below School,Medical,1,Medium,Male,56,High,Mid Level,Manager,High,Married,13610,24619,7,Yes,12,Good,Very High,80,0,15,2,Excellent,7,0.75,0.875,0.875,2.772588722239781,2.0794415416798357,2.0794415416798357,9.518633568332074,Yes
47,Travel_Rarely,1001,R&D,4,Bachelors,Life Sciences,1,High,Female,92,Medium,Mid Level,Manufacturing Director,Medium,Divorced,10333,19271,8,Yes,12,Good,High,80,1,28,4,Good,22,0.478,0.435,0.609,3.367295829986474,3.1354942159291497,2.70805020110221,9.24319470884713,No
22,Travel_Rarely,1230,R&D,1,School,Life Sciences,1,Very High,Male,33,Medium,Junior Level,Manufacturing Director,Very High,Married,4775,19146,6,No,22,Excellent,Low,80,2,4,2,Poor,2,0.667,0.667,0.667,1.6094379124341003,1.0986122886681096,1.0986122886681096,8.471358655072438,No
28,Travel_Rarely,890,R&D,2,Masters,Medical,1,High,Male,46,High,Entry Level,Research Scientist,High,Single,4382,16374,6,No,17,Good,Very High,80,0,5,3,Average,2,0.667,0.333,0.667,1.791759469228055,1.0986122886681096,1.0986122886681096,8.38548870041881,Yes
33,Non-Travel,530,Sales,16,Bachelors,Life Sciences,1,High,Female,36,High,Junior Level,Sales Executive,Very High,Divorced,5368,16130,1,Yes,25,Excellent,High,80,1,7,2,Good,6,0.714,0.286,0.143,2.0794415416798357,1.9459101490553132,0.6931471805599453,8.58839695042257,No
40,Travel_Rarely,630,Sales,4,Masters,Marketing,1,High,Male,67,Medium,Mid Level,Sales Executive,Very High,Married,10855,8552,7,No,11,Good,Low,80,1,15,2,Average,12,0.846,0.846,0.154,2.772588722239781,2.5649493574615367,1.0986122886681096,9.292473201514705,No
27,Travel_Frequently,793,Sales,2,Below School,Life Sciences,1,Very High,Male,43,Low,Junior Level,Sales Executive,Very High,Single,5071,20392,3,No,20,Excellent,Medium,80,0,8,3,Good,6,0.286,0.0,0.0,2.1972245773362196,1.9459101490553132,0.0,8.531490496117062,No
40,Travel_Rarely,543,R&D,1,Masters,Life Sciences,1,Low,Male,83,High,Entry Level,Laboratory Technician,Very High,Married,2406,4060,8,No,19,Good,High,80,2,8,3,Average,1,0.0,0.0,0.0,2.1972245773362196,0.6931471805599453,0.0,7.786136437783072,No
55,Travel_Frequently,1091,R&D,2,Below School,Life Sciences,1,Very High,Male,65,High,Mid Level,Manufacturing Director,Medium,Married,10976,15813,3,No,18,Good,Medium,80,1,23,4,Good,3,0.5,0.5,0.25,3.1780538303479458,1.3862943611198906,0.6931471805599453,9.303557453687317,No
33,Travel_Rarely,1017,R&D,25,Bachelors,Medical,1,Low,Male,55,Medium,Entry Level,Research Scientist,Medium,Single,2313,2993,4,Yes,20,Excellent,Medium,80,0,5,0,Good,2,0.667,0.667,0.667,1.791759469228055,1.0986122886681096,1.0986122886681096,7.746732907753622,Yes
37,Travel_Rarely,625,Sales,1,Masters,Life Sciences,1,Low,Male,46,Medium,Mid Level,Sales Executive,High,Married,10609,14922,5,No,11,Good,High,80,0,17,2,Poor,14,0.067,0.467,0.733,2.8903717578961645,2.70805020110221,2.4849066497880004,9.26955223160803,Yes
34,Travel_Rarely,511,Sales,3,School,Life Sciences,1,Very High,Female,32,Low,Junior Level,Sales Executive,Very High,Single,6029,25353,5,No,12,Good,Low,80,0,6,3,Good,2,0.667,0.667,0.667,1.9459101490553132,1.0986122886681096,1.0986122886681096,8.704502289721232,No
46,Travel_Rarely,168,Sales,4,School,Marketing,1,Very High,Female,33,Medium,Executive Level,Manager,Medium,Married,18789,9946,2,No,14,Good,High,80,1,26,2,Good,11,0.333,0.667,0.0,3.295836866004329,2.4849066497880004,0.0,9.84108009240751,No
38,Travel_Rarely,1245,Sales,14,Bachelors,Life Sciences,1,High,Male,80,High,Junior Level,Sales Executive,Medium,Married,9924,12355,0,No,11,Good,Very High,80,1,10,3,Good,9,0.8,0.7,0.7,2.3978952727983707,2.302585092994046,2.0794415416798357,9.202812105555392,No
30,Travel_Rarely,1138,R&D,6,Bachelors,Technical Degree,1,Low,Female,48,Medium,Junior Level,Laboratory Technician,Very High,Married,4627,23631,0,No,12,Good,Low,80,1,10,6,Good,9,0.2,0.7,0.6,2.3978952727983707,2.302585092994046,1.9459101490553132,8.439880088313567,No
